iter	RMSE
0	0.8568388854
1	0.8288709059
2	0.8032412326
3	0.7839949145
4	0.7692235423
5	0.7584705857
6	0.743933509
7	0.7331413878
8	0.7245242545
9	0.7185029236
10	0.7136388396
11	0.7092429659
12	0.7059718158
13	0.7033155977
14	0.7009290183
15	0.6979616947
16	0.6958001655
17	0.6938154652
18	0.6926843043
19	0.6914857158
20	0.6908794516
21	0.6894620025
22	0.6881904964
23	0.687336561
24	0.6865019351
25	0.6858767208
26	0.6853023146
27	0.6848708405
28	0.6846871292
29	0.684007898
30	0.6838145522
31	0.6838070641
32	0.6837996887
33	0.6831216237
34	0.683121621
35	0.6830922531
36	0.6830814267
37	0.6830786724
38	0.6828207862
39	0.6828170518
40	0.682816736
41	0.6827777143
42	0.6827768531
43	0.6827765085
44	0.682776079
45	0.6827760789
46	0.6827647494
47	0.6825718385
48	0.6825715518
49	0.6820748252
50	0.6820589025
51	0.6820534156
52	0.6820468225
53	0.6820468223
54	0.682046278
55	0.6820462779
56	0.6820462779
57	0.6820323509
58	0.6820225916
59	0.6820169817
60	0.6820167691
61	0.6820147142
62	0.6820146212
63	0.6820145249
64	0.6818748277
65	0.6818291471
66	0.6818220621
67	0.6818219868
68	0.6818219868
69	0.6818204417
70	0.681807162
71	0.681760502
72	0.6817597852
73	0.6817518621
74	0.6817319242
75	0.6817308184
76	0.6817301861
77	0.6817280138
78	0.6817278351
79	0.6817214675
80	0.6816965937
81	0.681695713
82	0.6816845612
83	0.6816626322
84	0.6816623465
85	0.6816501698
86	0.6816324909
87	0.6816214685
88	0.6816189686
89	0.6816047861
90	0.6815876879
91	0.6815700484
92	0.6815617123
93	0.6815442434
94	0.6815312081
95	0.6815196202
96	0.6815069028
97	0.6814976864
98	0.6814896789
99	0.6814826026
