iter	MAE_SumError	MAE_SumWeight
0	787828.0612	73993
1	714935.9992	73993
2	657717.6748	73993
3	612653.61	73993
4	575738.4865	73993
5	545462.4236	73993
6	522295.6052	73993
7	501377.057	73993
8	483778.2954	73993
9	468960.0679	73993
10	457353.9266	73993
11	449068.8853	73993
12	439957.4418	73993
13	432897.2399	73993
14	426972.6877	73993
15	423627.2561	73993
16	420751.9115	73993
17	416694.0148	73993
18	414892.3443	73993
19	413257.5476	73993
20	410226.4096	73993
21	407696.7451	73993
22	405510.5689	73993
23	404765.3198	73993
24	404368.8079	73993
25	403282.4603	73993
26	402273.4456	73993
27	401591.9787	73993
28	400812.9131	73993
29	400650.1739	73993
30	400165.847	73993
31	399770.2286	73993
32	399800.5598	73993
33	399807.394	73993
34	399726.3624	73993
35	399686.6493	73993
36	399605.7081	73993
37	399740.8428	73993
38	399752.9035	73993
39	399882.3836	73993
40	399863.5544	73993
41	399818.3193	73993
42	399834.6606	73993
43	399700.5994	73993
44	399824.1997	73993
45	399827.9119	73993
46	399821.4539	73993
47	399692.5244	73993
48	399698.4093	73993
49	399699.5512	73993
50	399669.1223	73993
51	399664.8756	73993
52	399672.4234	73993
53	399634.769	73993
54	399610.1625	73993
55	399607.18	73993
56	399600.8616	73993
57	399597.0064	73993
58	399593.5259	73993
59	399599.9584	73993
60	399588.6382	73993
61	399590.9386	73993
62	399347.3014	73993
63	399328.3673	73993
64	399375.5659	73993
65	399372.3635	73993
66	399385.9351	73993
67	399390.9632	73993
68	399191.2545	73993
69	399213.705	73993
70	399217.9024	73993
71	399249.4478	73993
72	399289.666	73993
73	399279.584	73993
74	399288.6819	73993
75	399293.7526	73993
76	399307.9755	73993
77	399306.8685	73993
78	399213.4797	73993
79	399221.0182	73993
80	399214.2212	73993
81	399204.4273	73993
82	399204.2589	73993
83	399200.996	73993
84	399200.9187	73993
85	399206.3463	73993
86	399063.4334	73993
87	399041.6016	73993
88	399038.8419	73993
89	399036.2417	73993
90	399034.1452	73993
91	399032.9358	73993
92	399057.0056	73993
93	399083.5439	73993
94	399082.7816	73993
95	398977.8432	73993
96	398983.1172	73993
97	398937.2892	73993
98	398944.9495	73993
99	398875.4786	73993
100	398895.1578	73993
101	398927.9542	73993
102	398813.2769	73993
103	398837.1009	73993
104	398838.8384	73993
105	398830.9589	73993
106	398427.9009	73993
107	398416.7988	73993
108	398241.7321	73993
109	398251.2178	73993
110	398273.6785	73993
111	398266.77	73993
112	398271.7154	73993
113	398116.4088	73993
114	398135.2266	73993
115	398149.696	73993
116	398145.2201	73993
117	398155.6467	73993
118	398125.8541	73993
119	398151.6533	73993
120	398140.8642	73993
121	398164.9051	73993
122	398175.7376	73993
123	398207.7807	73993
124	398264.7044	73993
125	398545.4752	73993
126	398545.0623	73993
127	398281.836	73993
128	398286.6612	73993
129	398218.8963	73993
130	398204.0108	73993
131	397892.983	73993
132	397901.5557	73993
133	397929.8323	73993
134	397839.3675	73993
135	397842.3265	73993
136	397876.3682	73993
137	397892.2521	73993
138	397912.6406	73993
139	397701.0795	73993
140	397670.7667	73993
141	397678.4722	73993
142	397677.1431	73993
143	397445.9526	73993
144	397485.9957	73993
145	397381.5422	73993
146	397319.6856	73993
147	397318.8138	73993
148	397330.7749	73993
149	397328.9739	73993
150	397293.5684	73993
151	397191.1084	73993
152	397113.8035	73993
153	397134.9977	73993
154	397137.9085	73993
155	397085.8733	73993
156	397094.7747	73993
157	397094.2805	73993
158	397057.0546	73993
159	397053.0082	73993
160	397074.0173	73993
161	396965.932	73993
162	396961.7187	73993
163	397003.6838	73993
164	396817.1341	73993
165	396826.763	73993
166	396854.5955	73993
167	396873.4171	73993
168	396869.6224	73993
169	396875.1659	73993
170	396901.8622	73993
171	396913.73	73993
172	396774.7898	73993
173	396780.1187	73993
174	396780.4861	73993
175	396791.3656	73993
176	396838.0477	73993
177	396874.4535	73993
178	396857.863	73993
179	396720.2213	73993
180	396722.0643	73993
181	396726.1843	73993
182	396663.8492	73993
183	396605.0803	73993
184	396622.385	73993
185	396653.6177	73993
186	396661.844	73993
187	396673.4304	73993
188	396663.6454	73993
189	396529.9301	73993
190	396559.7066	73993
191	396554.4573	73993
192	396565.6684	73993
193	396581.7904	73993
194	396588.067	73993
195	396519.2211	73993
196	396518.9449	73993
197	396558.8742	73993
198	396564.9618	73993
199	396587.4615	73993
200	396606.7563	73993
201	396617.5139	73993
202	396606.2321	73993
203	396523.7537	73993
204	396523.0584	73993
205	396530.6572	73993
206	396229.2789	73993
207	396224.6059	73993
208	396158.2931	73993
209	396092.5529	73993
210	396056.1699	73993
211	396014.9437	73993
212	396039.496	73993
213	395901.0044	73993
214	395905.1362	73993
215	395895.1743	73993
216	395885.0372	73993
217	395846.3335	73993
218	395833.2737	73993
219	395857.3309	73993
220	395860.8905	73993
221	395646.9896	73993
222	395658.5049	73993
223	395665.8289	73993
224	395668.942	73993
225	395671.6617	73993
226	395710.0127	73993
227	395711.448	73993
228	395715.7333	73993
229	395723.1815	73993
230	395743.9371	73993
231	395702.3887	73993
232	395722.6814	73993
233	395548.9487	73993
234	395557.5721	73993
235	395550.2998	73993
236	395563.6816	73993
237	395577.6499	73993
238	395547.6958	73993
239	395572.7449	73993
240	395523.4281	73993
241	395512.875	73993
242	395498.7685	73993
243	395494.278	73993
244	395497.8363	73993
245	395491.6466	73993
246	395462.0961	73993
247	395486.9724	73993
248	395438.4764	73993
249	395461.1482	73993
250	395476.0761	73993
251	395478.1489	73993
252	395457.7757	73993
253	395450.7453	73993
254	395453.2853	73993
255	395437.2944	73993
256	395398.8456	73993
257	395328.9807	73993
258	395312.1281	73993
259	395310.4187	73993
260	395297.6219	73993
261	395265.7889	73993
262	395264.7441	73993
263	395274.2775	73993
264	395298.9805	73993
265	395299.9893	73993
266	395306.6392	73993
267	395297.9789	73993
268	395301.1962	73993
269	395292.1398	73993
270	395268.9376	73993
271	395269.3027	73993
272	395278.3723	73993
273	395280.6257	73993
274	395342.0801	73993
275	395341.7293	73993
276	395340.849	73993
277	395326.6086	73993
278	395294.5199	73993
279	395276.3602	73993
280	395307.6314	73993
281	395136.5	73993
282	395153.6137	73993
283	395147.9518	73993
284	395133.0621	73993
285	395123.0522	73993
286	395132.2318	73993
287	395129.1716	73993
288	395079.505	73993
289	395082.6486	73993
290	395101.2969	73993
291	395069.2064	73993
292	395056.2353	73993
293	395066.5405	73993
294	395059.9298	73993
295	395080.8118	73993
296	395124.38	73993
297	395127.0885	73993
298	395123.6886	73993
299	395122.4924	73993
300	395123.9074	73993
301	395100.9727	73993
302	395074.6402	73993
303	395070.991	73993
304	394954.7148	73993
305	394969.8511	73993
306	394921.4903	73993
307	394892.6877	73993
308	394885.6017	73993
309	394900.2982	73993
310	394884.4588	73993
311	394888.1917	73993
312	394894.8359	73993
313	394872.0271	73993
314	394895.6277	73993
315	394909.9787	73993
316	394912.5306	73993
317	394880.3351	73993
318	394878.4962	73993
319	394881.1503	73993
320	394896.2411	73993
321	394913.5136	73993
322	394934.8776	73993
323	394909.1439	73993
324	394905.812	73993
325	394914.7993	73993
326	394905.2611	73993
327	394846.6103	73993
328	394858.7291	73993
329	394859.743	73993
330	394866.6601	73993
331	394868.5501	73993
332	394878.2663	73993
333	394879.1038	73993
334	394870.1546	73993
335	394871.1556	73993
336	394835.8124	73993
337	394672.9716	73993
338	394680.5515	73993
339	394691.0816	73993
340	394627.9447	73993
341	394630.5942	73993
342	394585.399	73993
343	394566.398	73993
344	394547.9747	73993
345	394547.7191	73993
346	394546.9994	73993
347	394556.2544	73993
348	394501.8954	73993
349	394522.1065	73993
350	394523.4844	73993
351	394521.0585	73993
352	394536.2848	73993
353	394497.9245	73993
354	394493.0712	73993
355	394467.3813	73993
356	394449.1068	73993
357	394440.5297	73993
358	394456.1471	73993
