iter	Passed	Remaining
0	708	708167
1	1342	669956
2	1893	629161
3	2523	628283
4	3197	636401
5	3793	628382
6	4386	622289
7	5092	631522
8	5680	625540
9	6204	614271
10	6712	603507
11	7249	596862
12	7834	594785
13	8403	591840
14	8899	584400
15	9421	579415
16	9960	575964
17	10559	576082
18	11053	570723
19	11608	568828
20	12167	567215
21	12699	564558
22	13235	562220
23	13807	561486
24	14300	557736
25	14850	556322
26	15415	555533
27	16061	557563
28	16641	557208
29	17127	553793
30	17598	550098
31	18127	548353
32	18600	545038
33	19172	544736
34	19710	543460
35	20161	539885
36	20720	539304
37	21254	538075
38	21946	540794
39	22442	538609
40	23131	541043
41	23609	538530
42	24038	534986
43	24610	534718
44	25087	532412
45	25633	531624
46	26128	529805
47	26566	526901
48	27041	524827
49	27491	522343
50	27875	518701
51	28361	517043
52	28870	515847
53	29435	515659
54	29823	512423
55	30326	511216
56	30752	508763
57	31220	507058
58	31756	506488
59	32253	505311
60	32682	503088
61	33135	501311
62	33699	501211
63	34094	498628
64	34538	496827
65	35005	495382
66	35460	493803
67	35992	493305
68	36497	492453
69	36889	490102
70	37399	489353
71	37850	487848
72	38316	486564
73	38757	484995
74	39205	483535
75	39668	482290
76	40128	481017
77	40593	479830
78	41148	479717
79	41639	478852
80	42089	477530
81	42578	476674
82	43103	476217
83	43523	474611
84	44055	474241
85	44583	473829
86	45040	472664
87	45540	471963
88	45926	470103
89	46421	469377
90	46887	468355
91	47398	467807
92	47940	467546
93	48344	465956
94	48793	464823
95	49257	463838
96	49728	462932
97	50158	461664
98	50662	461083
99	51130	460176
100	51596	459256
101	52083	458541
102	52623	458288
103	53163	458024
104	53583	456736
105	54030	455691
106	54487	454741
107	55082	454940
108	55643	454844
109	56044	453447
110	56459	452181
111	56893	451080
112	57412	450660
113	57802	449237
114	58313	448760
115	58652	446976
116	59056	445700
117	59542	445055
118	60035	444466
119	60455	443338
120	60919	442548
121	61298	441147
122	61710	440001
123	62166	439175
124	62545	437821
125	63011	437078
126	63364	435566
127	63894	435280
128	64279	434012
129	64629	432522
130	65102	431863
131	65586	431282
132	65998	430231
133	66478	429630
134	66889	428590
135	67290	427491
136	67712	426540
137	68163	425771
138	68604	424954
139	69015	423952
140	69386	422718
141	69793	421711
142	70202	420721
143	70688	420204
144	71092	419202
145	71548	418510
146	71951	417513
147	72421	416914
148	72850	416080
149	73380	415823
150	73773	414793
151	74211	414024
152	74644	413226
153	75129	412726
154	75591	412097
155	76019	411284
156	76371	410073
157	76833	409456
158	77206	408368
159	77646	407646
160	78096	406973
161	78437	405746
162	78930	405303
163	79359	404540
164	79810	403887
165	80253	403198
166	80705	402559
167	81170	401985
168	81573	401107
169	81956	400142
170	82376	399358
171	82766	398432
172	83213	397788
173	83568	396709
174	84072	396341
175	84430	395290
176	84812	394354
177	85339	394095
178	85773	393408
179	86132	392380
180	86497	391390
181	86925	390686
182	87344	389948
183	87768	389234
184	88332	389139
185	88775	388511
186	89172	387684
187	89504	386582
188	89897	385749
189	90428	385509
190	90917	385092
191	91401	384648
192	91720	383515
193	92269	383347
194	92855	383326
195	93393	383102
196	93916	382818
197	94415	382432
198	95108	382824
199	95703	382814
200	96227	382517
201	96595	381601
202	96982	380765
203	97393	380027
204	97812	379320
205	98232	378625
206	98716	378173
207	99168	377602
208	99543	376740
209	99965	376059
210	100403	375441
211	100974	375318
